pm10_index_rt,pm10_index_24,pm25_index_rt,pm25_index_24,pm25_24,pm25_rt,pm10_rt,staname,time,date,city,pm10_24
188,140,163,159,71,78,329,新光毛纺厂,07:00:00,2013-07-08,临沂,234
349,123,191,170,93,133,463,东昌区政府,07:00:00,2013-07-08,聊城,199
69,56,155,115,41,64,92,中华门,07:00:00,2013-07-08,南京,65
53,74,137,160,73,50,59,星湖花园,07:00:00,2013-07-08,南通,101
148,102,159,139,51,71,250,鲁南制药厂,07:00:00,2013-07-08,临沂,158
319,126,208,176,103,158,439,开发区,07:00:00,2013-07-08,聊城,206
68,58,155,129,47,64,89,瑞金路,07:00:00,2013-07-08,南京,70
63,76,137,155,63,50,79,虹桥,07:00:00,2013-07-08,南通,106
100,68,157,147,54,67,153,临沂大学,07:00:00,2013-07-08,临沂,90
317,129,199,170,93,148,438,海关,07:00:00,2013-07-08,聊城,211
76,63,149,119,43,55,106,草场门,07:00:00,2013-07-08,南京,79
76,86,129,157,67,47,106,紫琅学院,07:00:00,2013-07-08,南通,126
86,82,156,132,48,65,125,沂河小区,07:00:00,2013-07-08,临沂,118
283,136,189,168,88,130,412,洪顺花园,07:00:00,2013-07-08,聊城,226
60,56,137,124,45,50,74,浦口,07:00:00,2013-07-08,南京,66
58,70,124,153,60,45,70,城中,07:00:00,2013-07-08,南通,94
123,80,154,124,45,61,199,河东保险公司,07:00:00,2013-07-08,临沂,114
179,103,204,172,97,154,312,市委党校,07:00:00,2013-07-08,聊城,160
72,64,134,110,39,49,97,迈皋桥,07:00:00,2013-07-08,南京,82
55,73,107,159,71,38,63,南郊,07:00:00,2013-07-08,南通,99
95,75,152,115,41,57,143,市环保局(南坊),07:00:00,2013-07-08,临沂,104
64,52,132,107,38,48,82,玄武湖,07:00:00,2013-07-08,南京,58
106,79,151,129,47,56,165,洪福酒业,07:00:00,2013-07-08,临沂,112
73,61,129,82,27,47,100,奥体中心,07:00:00,2013-07-08,南京,75
92,106,184,191,133,119,137,环境监测监理中心,07:00:00,2013-07-08,廊坊,165
106,69,190,154,61,132,165,洪门派出所,07:00:00,2013-07-08,连云港,91
112,94,164,157,68,81,178,植物油厂,07:00:00,2013-07-08,莱芜,141
96,65,139,97,34,51,145,江华汽贸,07:00:00,2013-07-08,临沂,83
66,52,112,76,24,40,86,仙林大学城,07:00:00,2013-07-08,南京,57
107,103,183,180,111,117,167,药材公司,07:00:00,2013-07-08,廊坊,160
56,51,137,107,38,50,65,开发区恒瑞医药公司,07:00:00,2013-07-08,连云港,55
79,75,161,157,68,74,111,老年公寓,07:00:00,2013-07-08,莱芜,104
62,35,157,76,24,68,77,四中,07:00:00,2013-07-08,金华,38
129,94,192,176,104,135,211,市监测站,07:00:00,2013-07-08,济南,141
77,89,248,239,189,198,108,电化厂,07:00:00,2013-07-08,济宁,132
61,60,112,87,29,40,76,山西路,07:00:00,2013-07-08,南京,74
95,104,180,179,109,111,143,北华航天学校,07:00:00,2013-07-08,廊坊,161
58,47,132,99,35,48,70,墟沟核电专家村,07:00:00,2013-07-08,连云港,51
77,63,158,144,53,70,107,钢城区环保局,07:00:00,2013-07-08,莱芜,79
35,32,95,72,22,33,38,十五中,07:00:00,2013-07-08,金华,35
123,102,190,173,98,131,199,机床二厂,07:00:00,2013-07-08,济南,158
99,100,180,184,119,111,152,开发区火炬城,07:00:00,2013-07-08,济宁,154
84,101,170,181,113,93,121,开发区,07:00:00,2013-07-08,廊坊,156
53,51,122,107,38,44,59,市环境监测站,07:00:00,2013-07-08,连云港,56
89,77,157,155,64,68,132,市环保局,07:00:00,2013-07-08,莱芜,108
41,43,76,76,24,24,44,监测站,07:00:00,2013-07-08,金华,46
100,84,189,171,95,129,154,济南化工厂,07:00:00,2013-07-08,济南,121
87,91,175,182,116,102,128,市监测站,07:00:00,2013-07-08,济宁,135
112,86,155,156,65,64,177,日晟国际学校,07:00:00,2013-07-08,莱芜,126
106,78,179,164,81,110,165,长清党校,07:00:00,2013-07-08,济南,109
98,93,174,177,106,100,149,任城开发区,07:00:00,2013-07-08,济宁,140
63,62,147,153,60,54,80,新一中学,07:00:00,2013-07-08,莱芜,78
126,100,179,170,92,109,205,科干所,07:00:00,2013-07-08,济南,154
129,108,178,169,90,107,212,农科所,07:00:00,2013-07-08,济南,170
88,84,165,172,96,82,129,圣地度假村,07:00:00,2013-07-08,济宁,122
123,94,170,164,81,93,200,开发区,07:00:00,2013-07-08,济南,142
93,92,162,169,90,77,139,农业学校,07:00:00,2013-07-08,济宁,138
172,106,261,173,98,211,297,南定,07:00:00,2013-07-08,淄博,166
27,18,17,17,4,4,29,前山,07:00:00,2013-07-08,珠海,19
4,51,251,187,125,201,4,齐鲁石化,07:00:00,2013-07-08,淄博,56
50,46,68,50,12,20,54,七星岩子站,07:00:00,2013-07-08,肇庆,50
44,46,50,55,14,12,48,定海檀枫,07:00:00,2013-07-08,舟山,50
55,61,102,110,39,36,63,职教中心,07:00:00,2013-07-08,镇江,76
25,16,21,21,5,5,27,斗门,07:00:00,2013-07-08,珠海,17
16,13,29,29,7,7,17,长江旅游区,07:00:00,2013-07-08,中山,14
36,64,93,117,42,32,39,人民公园,07:00:00,2013-07-08,张家口,82
123,73,234,167,86,184,199,人民公园,07:00:00,2013-07-08,淄博,99
36,29,61,61,17,17,39,城中子站,07:00:00,2013-07-08,肇庆,31
40,44,38,50,12,9,43,普陀东港,07:00:00,2013-07-08,舟山,47
52,65,99,112,40,35,58,丹徒区监测站,07:00:00,2013-07-08,镇江,83
16,25,17,42,10,4,17,张溪,07:00:00,2013-07-08,中山,27
29,58,59,115,41,16,31,五金库,07:00:00,2013-07-08,张家口,70
144,106,201,171,95,151,242,东风化工厂,07:00:00,2013-07-08,淄博,165
46,50,50,57,15,12,50,睦岗子站,07:00:00,2013-07-08,肇庆,54
30,35,33,46,11,8,32,临城新区,07:00:00,2013-07-08,舟山,38
51,63,76,105,37,24,55,环境监测站,07:00:00,2013-07-08,镇江,79
16,13,4,29,7,1,17,华柏园,07:00:00,2013-07-08,中山,14
15,13,8,21,5,2,16,紫马岭,07:00:00,2013-07-08,中山,14
25,42,59,110,39,16,27,探机厂,07:00:00,2013-07-08,张家口,45
92,64,183,158,70,117,138,开发区,07:00:00,2013-07-08,淄博,82
43,58,70,115,41,21,46,新区办事处,07:00:00,2013-07-08,镇江,69
